elapsedtime,totalvelocity,forwardvelocity,fallvelocity,height,distance
3.45,26.0,18.1,27.6,52.39,74.26125
3.475,26.0,18.05,27.8,51.6975,74.7125
3.5,26.0,18.0,28.0,51.0,75.1625
3.525,26.0,17.95,28.2,50.2975,75.61125
3.55,26.0,17.9,28.4,49.59,76.05875
3.575,26.0,17.85,28.6,48.8775,76.505
3.6,26.0,17.8,28.8,48.16,76.95
3.625,26.0,17.75,29.0,47.4375,77.39375
3.65,26.0,17.7,29.2,46.71,77.83625
3.675,26.0,17.65,29.4,45.9775,78.2775
3.7,26.0,17.6,29.6,45.24,78.7175
3.725,26.0,17.55,29.8,44.4975,79.15625
3.75,26.0,17.5,30.0,43.75,79.59375
3.775,26.0,17.45,30.2,42.9975,80.03
3.8,26.0,17.4,30.4,42.24,80.465
3.825,26.0,17.35,30.6,41.4775,80.89875
3.85,26.0,17.3,30.8,40.71,81.33125
3.875,26.0,17.25,31.0,39.9375,81.7625
3.9,26.0,17.2,31.2,39.16,82.1925
3.925,26.0,17.15,31.4,38.3775,82.62125
3.95,26.0,17.1,31.6,37.59,83.04875
3.975,26.0,17.05,31.8,36.7975,83.475
4.0,26.0,17.0,32.0,36.0,83.9
4.025,26.0,16.95,32.2,35.1975,84.32375
4.05,26.0,16.9,32.4,34.39,84.74625
4.075,26.0,16.85,32.6,33.5775,85.1675
4.1,26.0,16.8,32.8,32.76,85.5875
4.125,26.0,16.75,33.0,31.9375,86.00625
4.15,26.0,16.7,33.2,31.11,86.42375
4.175,26.0,16.65,33.4,30.2775,86.84
4.2,26.0,16.6,33.6,29.44,87.255
4.225,26.0,16.55,33.8,28.5975,87.66875
4.25,26.0,16.5,34.0,27.75,88.08125
4.275,26.0,16.45,34.2,26.8975,88.4925
4.3,26.0,16.4,34.4,26.04,88.9025
4.325,26.0,16.35,34.6,25.1775,89.31125
4.35,26.0,16.3,34.8,24.31,89.71875
4.375,26.0,16.25,35.0,23.4375,90.125
4.4,26.0,16.2,35.2,22.56,90.53
4.425,26.0,16.15,35.4,21.6775,90.93375
4.45,26.0,16.1,35.6,20.79,91.33625
4.475,26.0,16.05,35.8,19.8975,91.7375
4.5,26.0,16.0,36.0,19.0,92.1375
4.525,26.0,15.95,36.2,18.0975,92.53625
4.55,26.0,15.9,36.4,17.19,92.93375
4.575,26.0,15.85,36.6,16.2775,93.33
4.6,26.0,15.8,36.8,15.36,93.725
4.625,26.0,15.75,37.0,14.4375,94.11875
4.65,26.0,15.7,37.2,13.51,94.51125
4.675,26.0,15.65,37.4,12.5775,94.9025
4.7,26.0,15.6,37.6,11.64,95.2925
4.725,26.0,15.55,37.8,10.6975,95.68125
4.75,26.0,15.5,38.0,9.75,96.06875
4.775,26.0,15.45,38.2,8.7975,96.455
4.8,26.0,15.4,38.4,7.84,96.84
4.825,26.0,15.35,38.6,6.8775,97.22375
4.85,26.0,15.3,38.8,5.91,97.60625
4.875,26.0,15.25,39.0,4.9375,97.9875
4.9,26.0,15.2,39.2,3.96,98.3675
4.925,26.0,15.15,39.4,2.9775,98.74625
4.95,26.0,15.1,39.6,1.99,99.12375
4.975,26.0,15.05,39.8,0.9975,99.5
5.0,26.0,15.0,40.0,0.0,99.5
