time,Speed1,Speed2,x1,x2,100.0,150.0,75.0
3.05,-17.22222,-17.22222,11.91648,11.91648
3.075,-17.22222,-17.22222,11.48592,11.48592
3.1,-17.22222,-17.22222,11.05536,11.05536
3.125,-17.22222,-17.22222,10.6248,10.6248
3.15,-17.22222,-17.22222,10.19424,10.19424
3.175,-17.22222,-17.22222,9.76368,9.76368
3.2,-17.22222,-17.22222,9.33312,9.33312
3.225,-17.22222,-17.22222,8.90256,8.90256
3.25,-17.22222,-17.22222,8.472,8.472
3.275,-17.22222,-17.22222,8.04144,8.04144
3.3,-17.22222,-17.22222,7.61088,7.61088
3.325,-17.22222,-17.22222,7.18032,7.18032
3.35,-17.22222,-17.22222,6.74976,6.74976
3.375,-17.22222,-17.22222,6.3192,6.3192
3.4,-17.22222,-17.22222,5.88864,5.88864
3.425,-17.22222,-17.22222,5.45808,5.45808
3.45,-17.22222,-17.22222,5.02752,5.02752
3.475,-17.22222,-17.22222,4.59696,4.59696
3.5,-17.22222,-17.22222,4.1664,4.1664
3.525,-17.22222,-17.22222,3.73584,3.73584
3.55,-17.22222,-17.22222,3.30528,3.30528
3.575,-17.22222,-17.22222,2.87472,2.87472
3.6,-17.22222,-17.22222,2.44416,2.44416
3.625,-17.22222,-17.22222,2.0136,2.0136
3.65,-17.22222,-17.22222,1.58304,1.58304
3.675,-17.22222,-17.22222,1.15248,1.15248
3.7,-17.22222,-17.22222,0.72192,0.72192
3.725,-17.22222,-17.22222,0.29136,0.29136
3.75,-17.22222,-17.22222,-0.1392,-0.1392
3.775,-17.22222,-17.22222,-0.56976,-0.56976
3.8,-17.22222,-17.22222,-1.00032,-1.00032
3.825,-17.22222,-17.22222,-1.43088,-1.43088
3.85,-17.22222,-17.22222,-1.86144,-1.86144
3.875,-17.22222,-17.22222,-2.292,-2.292
3.9,-17.22222,-17.22222,-2.72256,-2.72256
3.925,-17.22222,-17.22222,-3.15312,-3.15312
3.95,-17.22222,-17.22222,-3.58368,-3.58368
3.975,-17.22222,-17.22222,-4.01424,-4.01424
